Phrase
Bet
Finna
Fr
For real
I'm dead
I'm weak
Period
Periodt
Sheesh
Whew
Slay
slaying
Sus
suspect
Tea
spill the tea
That's fire
lit
Vibe check
Wig
Bussin'
Hits different
Big yikes
It's giving...
Deadass
Dead serious
No kizzy
On god
On everything
Straight up
Bro
brodie
bruh
G
gang
Homie
Homes
Cringe
Drip
Ghosting
Rizz
Simp
Valid
Ratio'd
Main character energy
